מחוז,רשות מקומית ,שם האתר,כתובת,שנת תחילת טיפול,שנת       סיום      טיפול ,זיהום   גז קרקע  ,זיהום קרקע,דרגת זיהום לפני שיקום,סוג סקר,מקור הזיהום ,סוג מזהם מתכות ,סוג מזהם דלקים,סוג מזהם ממסים (לרבות מוכלרים),סוג מזהם שמנים,סוג מזהם חומרי נפץ,סוג מזהם חומרי הדברה,מיגון מבנים         
"ת""א",תל-אביב,ארלוזרוב – ליד מרכז קהילתי -לוי,,2011,2014,יש זיהום ,לא נבדק ויש פוטנציאל,כבד,סקר גז קרקע,,,,כן,,,,מיגון לאחר בדיקה
"ת""א",תל-אביב,באכר 17,באכר 17,2011,2014,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",גבעתיים,בורכוב 50,בורכוב 50,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,אחר,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון ,"ביאליק  תע""ש",,2011,2014,יש זיהום ,לא נבדק ויש פוטנציאל,כבד,סקר גז קרקע,,,,כן,,,,מיגון לאחר בדיקה
"ת""א",רמת-השרון,"ביה""ס אוסישקין 71",,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,בית האשל 17,בית האשל 17,2011,2014,יש זיהום ,יש זיהום,כבד,סקר קרקע,תעשיה,כן,כן,כן,כן,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,בית הלל 30,בית הלל 30,2011,2014,לא נבדק ויש פוטנציאל ,נבדק ואין זיהום,אין זיהום,פוטנציאל זיהום,,לא,לא,כן,לא,לא,לא,מיגון על פי חובה בתשריט
"ת""א",תל-אביב,בית שמאי 3,בית שמאי 3 (לפי 1),2011,2014,היה זיהום בעבר ששוקם,היה זיהום בעבר ששוקם,קל,שיקום ,תעשיה,לא,כן,כן,כן,לא,לא,מיגון על פי חובה בתשריט
"ת""א",רמת-השרון,בלפור 11,,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,בן אביגדור 22,בן אביגדור 22,2011,2014,יש זיהום ,יש זיהום,בינוני,סקר גז קרקע,תעשיה,כן,כן,כן,כן,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,בן גמליאל 10,בן גמליאל 10,2011,2014,נבדק ואין זיהום,היה זיהום בעבר ששוקם,בינוני,שיקום ,תעשיה,כן,לא,כן,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,בן יהודה 174,בן יהודה 174,2011,2014,יש זיהום ,לא נבדק ויש פוטנציאל,קל,סקר גז קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",רמת-השרון,בן שלום 1 פינת אוסישקין,,2011,2014,יש זיהום ,לא נבדק ויש פוטנציאל,כבד,סקר גז קרקע,,,,כן,,,,מיגון לאחר בדיקה
"ת""א",תל-אביב,בעל העקידה 41,בעל העקידה 41,2011,2014,נבדק ואין זיהום,יש זיהום,קל,סקר גז קרקע,תעשיה,כן,כן,כן,כן,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון ,גורדון 1 (גינה),,2011,2014,יש זיהום ,לא נבדק ויש פוטנציאל,כבד,סקר גז קרקע,,,,כן,,,,מיגון לאחר בדיקה
"ת""א",רמת-השרון,גן דולב (גינה ציבורית),,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,,,,,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,הוסטל דב הוז (תחנת אוטובוס 92),,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,המלכים 17,,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,המתנחלים 30,,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,הנביאים פינת המלאכים (מסעדת המקום של אהרון),,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,הנוטע פינת הקוצר,,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,"הנצח 3 מול קופ""ח מכבי (אוטו אדיב)",,2011,2014,יש זיהום ,לא נבדק ויש פוטנציאל,כבד,סקר גז קרקע,תעשיה,,,כן,,,,מיגון לאחר בדיקה
"ת""א",רמת-השרון,הנצח ארינה  (תחנת שאיבת ביוב),,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,"הפלמ""ח פינת המחתרת",,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,ויתקין 15,,2011,2014,יש זיהום ,לא נבדק ויש פוטנציאל,כבד,סקר גז קרקע,תעשיה,,,כן,,,,מיגון לאחר בדיקה
"ת""א",בת ים,חזן סודני ,בלפור 100,2011,2014,נבדק ואין זיהום,לא נבדק ויש פוטנציאל,אין זיהום ,סקר גז קרקע,תעשיה,לא,לא,כן,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,חניית אולם ספורט אורנים,,2011,2014,יש זיהום ,לא נבדק ויש פוטנציאל,כבד,סקר גז קרקע,תעשיה,,,כן,,,,מיגון לאחר בדיקה
"ת""א",רמת-השרון,"חניית ביה""ס רוטברג – רח' במעלה",,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,חניית רח' הפרדס,,2011,2014,יש זיהום ,לא נבדק ויש פוטנציאל,כבד,סקר גז קרקע,תעשיה,,,כן,,,,מיגון לאחר בדיקה
"ת""א",רמת-השרון,יבנה פינת נצח,,2011,2014,יש זיהום ,לא נבדק ויש פוטנציאל,כבד,סקר גז קרקע,תעשיה,,,כן,,,,מיגון לאחר בדיקה
"ת""א",רמת-השרון,יהודה הלוי 45 (חניון),,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,יפתח פינת השופטים,,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-גן,מגדל הילקריסט רג - 1500 א /1,"בין הרחובות – מנחם בגין במזרח, נתיבי איילון במערב ורח' התע""ש",2011,2014,נבדק ואין זיהום,לא נבדק ויש פוטנציאל,אין זיהום ,סקר גז קרקע,,,,כן,,,,
"ת""א",בת ים,מוסך דן - תחנת תדלוק,העמל 14,2004,2007,נבדק ואין זיהום,לא נבדק ויש פוטנציאל,אין זיהום ,שיקום ,,,,כן,,,,
"ת""א",גלילי,מקווה ישראל - אזור תדלוק,,2011,2014,נבדק ואין זיהום,לא נבדק ויש פוטנציאל,אין זיהום ,סקר קרקע,תעשיה,,,כן,,,,
"ת""א",תל-אביב,"מתחם מגדל ליבר ת""א","מתחם מגדל ליבר ת""א",2011,2014,יש זיהום ,היה זיהום בעבר ששוקם,קל,שיקום ,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",רמת-גן,עלית  ,ארלוזורוב 85,2011,2014,יש זיהום ,לא נבדק ויש פוטנציאל,אין זיהום ,סקר גז קרקע,אחר,,,כן,,,,בבדיקה
"ת""א",רמת-השרון,צבי בנימין 15,,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",חולון,ת.ד  סונול המרכבה,המרכבה 35,2011,2014,יש זיהום ,יש זיהום,כבד,סקר גז קרקע,תעשיה,לא,כן,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",חולון,ת.ד דיסקאונט (קימעונאות ומרכבות האש לשעבר),המרכבה 14,2011,2014,יש זיהום ,יש זיהום,כבד,שיקום ,תעשיה,לא,כן,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",רמת-גן,"ת.ד. סד""ש תל השומר( פרטי )",בבית חולים תל השומר,2011,2014,יש זיהום ,לא נבדק ויש פוטנציאל,אין זיהום ,סקר גז קרקע,אחר,,,כן,,,,
"ת""א",רמת-גן,ת.ד. סונול מכבים,אלוף שדה 101,2011,2014,יש זיהום ,לא נבדק ויש פוטנציאל,אין זיהום ,סקר גז קרקע,תחנות דלק,לא,כן,כן,לא,לא,לא,
"ת""א",בת ים,ת.ד. פז דוד,דוד רזיאל 5,2011,2014,יש זיהום ,לא נבדק ויש פוטנציאל,כבד,סקר גז קרקע,תחנות דלק,לא,כן,כן,לא,לא,לא,טרם נבדק
"ת""א",רמת-גן,ת.ד. פז קרית גן,אלוף שדה 52,2011,2014,יש זיהום ,לא נבדק ויש פוטנציאל,אין זיהום ,סקר גז קרקע,אחר,לא,כן,כן,לא,לא,לא,
"ת""א",תל-אביב,"תע""ש רביבים",שיכון דן,2001,2005,יש זיהום ,,כבד,סקר גז קרקע,תעשיה,,,כן,,,,מיגון לאחר בדיקה
"ת""א",קרית אונו,קא 401 רחוב הרצל פינת המרי,קא 401 רחוב הרצל פינת המרי,2011,2011,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר היסטורי,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",רמת-גן,מגדל הגפן B רחוב התקווה 11 ,התקווה 11,2015,2016,יש זיהום ,יש זיהום,בינוני,סקר גז קרקע,אחר,לא,כן,כן,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,סנטרל הייטס - ערבי נחל 13 - 9  ,ערבי נחל 13 - 9,2009,2011,יש זיהום ,לא נבדק ואין זיהום,בינוני,סקר גז קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",חולון,עטיפון,המלאכה 13,2009,2009,לא נבדק ויש פוטנציאל ,היה זיהום בעבר ששוקם,קל,סקר קרקע,תעשיה,,לא,,,,,מיגון על פי חובה בתשריט
"ת""א",תל-אביב,הגדוד העברי 35-37,הגדוד העברי 35-37,2014,2014,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,הגליל 6,הגליל 6,2011,2011,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,"הגר""א 14","הגר""א 14",2012,2012,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,ההגנה 44,ההגנה 44,2012,2012,נבדק ואין זיהום,יש זיהום,קל,סקר גז קרקע,אחר,לא,כן,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,החלוצים 29,החלוצים 29,2012,2013,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,החלוצים 36,החלוצים 36,2013,2013,נבדק ואין זיהום,היה זיהום בעבר ששוקם,קל,שיקום ,תעשיה,כן,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,החרש 20,החרש 20,2009,2009,יש זיהום ,היה זיהום בעבר ששוקם,קל,שיקום ,תעשיה,לא,כן,כן,כן,לא,לא,מיגון לאחר בדיקה
"ת""א",בני-ברק,"חיד""א 26","חיד""א 26",2011,2012,יש זיהום ,יש זיהום,כבד,סקר גז קרקע,,לא,כן,כן,לא,לא,לא,טרם נבדק
"ת""א",הרצלייה,המדע 14,המדע 14,2012,2014,נבדק ואין זיהום,לא נבדק ויש פוטנציאל,אין זיהום,סקר גז קרקע,,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",חולון,ג'יגה סנטר ח-582 ,המלאכה פינת המשביר,2007,2007,יש זיהום ,יש זיהום,בינוני ,שיקום ,תחנות דלק,לא,כן,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,גני שפירא-דה מודינה 19 - 21 וטורי זהב 17,גני שפירא-דה מודינה 19 - 21 וטורי זהב 17,2012,2012,יש זיהום ,היה זיהום בעבר ששוקם,בינוני,שיקום ,תעשיה,לא,כן,כן,כן,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,גני שרונה ,"קפלן , הארבעה ליאונרדו ד'ה וינצ'י ומנחם בגין",2012,2012,יש זיהום ,לא נבדק ואין זיהום,כבד,סקר גז קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,דבורה הנביאה 41 א,דבורה הנביאה 41 א,2011,2012,יש זיהום ,לא נבדק ואין זיהום,קל,סקר גז קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,מגדלי דובנוב פינת שאול המלך,דובנוב פינת שאול המלך,2008,2008,יש זיהום ,לא נבדק ואין זיהום,קל,סקר גז קרקע,אחר,לא,לא,כן,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,"הרחבת בית ספר לבנות ""בית יעקב"" מסלנט א",מסלנט 42 א,2015,2015,יש זיהום,יש זיהום,בינוני,שיקום ,,לא,כן,לא,לא,לא,לא,אין צורך במיגון
"ת""א",תל-אביב,מבני גזית,דרך מנחם בגין 148,2008,2008,נבדק ואין זיהום,היה זיהום בעבר ששוקם,קל,סקר קרקע,תחנות דלק,לא,לא,לא,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,מגדל קרית הממשלה,דרך מנחם בגין 125,2008,2008,יש זיהום ,היה זיהום בעבר ששוקם,בינוני,סקר קרקע,צהל,לא,לא,לא,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,מוסך דן,ארלוזורוב 17,2008,2013,יש זיהום ,היה זיהום בעבר ששוקם,קל,סקר קרקע,מוסך,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",בני-ברק,האחים חדד,כהנמן 100,2001,2012,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום ,לא צריך טיפול,תחנות דלק,לא,לא,לא,לא,לא,לא,
"ת""א",חולון,גבוביץ ומפן - הפלד 5 ,הפלד  5,2003,2008,יש זיהום ,יש זיהום,כבד,סקר קרקע,תעשיה,לא,כן,לא,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",חולון,גרר כליף - הנפח 9,הנפח 9,2008,2010,יש זיהום ,יש זיהום,בינוני ,סקר קרקע,מוסך,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",חולון,מוסך ד. רם - האופן 12 ,האופן 12,2010,2014,יש זיהום ,היה זיהום בעבר ששוקם,בינוני ,שיקום ,מוסך,,כן,,,,,מיגון לאחר בדיקה
"ת""א",תל-אביב,ראול ולנברג 16,ראול ולנברג 16,2008,2011,נבדק ואין זיהום,היה זיהום בעבר ששוקם,בינוני,שיקום ,תעשיה,כן,כן,לא,כן,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,ראול ולנברג 6,ראול ולנברג 6,2001,2001,לא נבדק ויש פוטנציאל ,היה זיהום בעבר ששוקם,קל,שיקום ,תעשיה,כן,כן,כן,כן,לא,לא,טרם נבדק
"ת""א",תל-אביב,ראש פינה 12 פינת יסוד המעלה,ראש פינה 12 פינת יסוד המעלה,2011,2012,יש זיהום ,נבדק ואין זיהום,קל,סקר קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,ראשון לציון 9,ראשון לציון 9 ,2014,2015,יש זיהום ,לא נבדק ואין זיהום,קל,סקר גז קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,רבי חנינא 8,רבי חנינא 8,2010,2010,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,רבי חנינא 9,רבי חנינה 9 ,2012,2012,לא נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום ,פוטנציאל זיהום,אחר,לא,לא,לא,לא,לא,לא,אין צורך במיגון
"ת""א",תל-אביב,רביעית פלורנטין,סלמה 43 דרך שלמה43,2011,2011,יש זיהום ,היה זיהום בעבר ששוקם,כבד,שיקום ,מוסך,כן,כן,כן,כן,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,רוחמה 18,רוחמה 18,2012,2013,יש זיהום ,היה זיהום בעבר ששוקם,קל,שיקום ,מוסך,כן,כן,כן,כן,לא,לא,מיגון לאחר בדיקה
"ת""א ",גבעתיים,המכתש - גב 390 א - שטח יורוקום,המכתש,2012,2013,נבדק ואין זיהום,יש זיהום,קל,סקר גז קרקע,אחר,לא,כן,כן,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",כפר שמריהו,הלרמן שמנים,תעשייה-הרקפות 22(לפי 22א),2003,2003,נבדק ואין זיהום,היה זיהום בעבר ששוקם,כבד,סקר גז קרקע,תעשיה,לא,כן,כן,כן,לא,לא,טרם נבדק
"ת""א",רמת-גן,המשולש הגדול ,שכונת האלוף מאיר עמית,2011,2013,נבדק ואין זיהום,לא נבדק ויש פוטנציאל,אין זיהום ,סקר גז קרקע,תעשיה,לא,לא,כן,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,נחל הבשור,,2011,2014,יש זיהום ,לא נבדק ויש פוטנציאל,כבד,סקר גז קרקע,תעשיה,,,כן,,,,מיגון לאחר בדיקה
"ת""א",רמת-השרון,נעומי פינת אווירבוך,,2011,2013,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,סמטת גד פינת יהודה,,2011,2013,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,פארק רמת השרון -  (רח' נצח),,2011,2013,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,רח' דבורה הנביאה 9,,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,רח' הגליל 1,,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,רח' הגפן 174 (גן יונה),,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,רח' מגידו,,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,רח' עבודה 15 (מול פארק אשכול פיס),,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,רחוב הנצח 1 מול גינה ציבורית,,2011,2014,יש זיהום ,לא נבדק ויש פוטנציאל,כבד,סקר גז קרקע,תעשיה,,,כן,,,,מיגון לאחר בדיקה
"ת""א",רמת-השרון,ריינס 6/28 (חורשה),,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,רימוני תדהר ,החלוץ 44,2014,2014,יש זיהום ,לא נבדק ויש פוטנציאל,בינוני,סקר גז קרקע,תעשיה,,,כן,,,,מיגון לאחר בדיקה
"ת""א",גבעתיים,שדה בוקר 6 ,שדה בוקר 6,2013,2013,יש זיהום ,לא נבדק ואין זיהום,כבד,סקר גז קרקע,תעשיה,,,כן,,,,מיגון לאחר בדיקה
"ת""א",גבעתיים,שינקין 48 - מגדלי רותם שני,שינקין 48,2007,2007,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",בת ים,בי 410,,2011,2015,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום,סקר גז קרקע,תעשיה,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",בת ים,בי 434 - הקוממיות 14 - העמל,הקוממיות 14,2013,2014,יש זיהום ,לא נבדק ויש פוטנציאל,כבד,סקר היסטורי,מוסך,לא,כן,כן,לא,לא,לא,מיגון על פי חובה בתשריט
"ת""א",בת ים,בי 514 פינוי בינוי שער העיר הצפוני - רחובות הגבול בלפור,,2013,2014,לא נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום,סקר היסטורי,,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",חולון,הגביש 3,הגביש 3,2008,2008,יש זיהום ,יש זיהום,בינוני ,סקר קרקע,אחר,לא,כן,לא,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",חולון,היכל ספורט חולון - פארק פרס ,"גוש 7302 , חלקה 10 , מגרש 2080",2012,2012,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,אחר,,,,,,,נבדק וניתן פטור ממיגון
"ת""א",חולון,"הכישור 2 - טרהטק סוכנויות בע""מ",הכישור 2,2010,2013,לא נבדק ויש פוטנציאל ,יש זיהום,בינוני ,סקר קרקע,מוסך,כן,כן,,,,,טרם נבדק
"ת""א",חולון,מוסך מציל רכב,הבנאי 27 ב',2011,2011,לא נבדק ויש פוטנציאל ,נבדק ואין זיהום,אין זיהום ,סקר קרקע,מוסך,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",חולון,מצבעת חוטים מפעל,הפלד 14,2012,2016,יש זיהום ,יש זיהום,כבד,שיקום ,תעשיה,לא,כן,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",חולון,החופר 34,החופר 34,2009,2009,לא נבדק ויש פוטנציאל ,לא נבדק ואין זיהום,אין זיהום ,פוטנציאל זיהום,אחר,,,,,,,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,הרצל 114,הרצל 114,2013,2013,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,הרצל 121,הרצל 121,2010,2011,יש זיהום ,נבדק ואין זיהום,בינוני,סקר קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,השוק 21,השוק 21,2012,2012,יש זיהום ,לא נבדק ואין זיהום,קל,סקר גז קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,וושינגטון 27,וושינגטון 27,2014,2014,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,ויטל 20,ויטל 20,2010,2011,יש זיהום ,היה זיהום בעבר ששוקם,כבד,שיקום ,מוסך,כן,כן,כן,כן,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,זימן 26,זימן 26,2004,2004,יש זיהום ,לא נבדק ויש פוטנציאל,בינוני,סקר גז קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,שפיר תוצרת הארץ  6-8+השלום 5 ותוצרת הארץ 20 על 6,תוצרת הארץ 6 תל אביב,2012,2013,לא נבדק ויש פוטנציאל ,היה זיהום בעבר ששוקם,קל,שיקום ,תעשיה,לא,כן,לא,כן,לא,לא,מיגון על פי חובה בתשריט
"ת""א",תל-אביב,ידידיה פרנקל 32,ידידיה פרנקל 32,2011,2011,יש זיהום ,לא נבדק ויש פוטנציאל,קל,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,מיגון על פי חובה בתשריט
"ת""א",תל-אביב,מטלון 46,מטלון 46,2012,2012,לא נבדק ואין זיהום,לא נבדק ואין זיהום,כבד,סקר היסטורי,אחר,לא,לא,לא,לא,לא,לא,אין צורך במיגון
"ת""א",תל-אביב,מלון ירושלים,ניצנה 9,2008,2010,נבדק ואין זיהום,היה זיהום בעבר ששוקם,קל,סקר קרקע,תעשיה,כן,כן,לא,כן,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,מלון שרונה ,דוד אלעזר פינת קלמן מגן,2013,2015,יש זיהום ,נבדק ואין זיהום,כבד,סקר קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,מסילת העולים 8,מסילת העולים 9,2014,2014,יש זיהום ,לא נבדק ואין זיהום,כבד,סקר גז קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,מצבעת גרינפלד,בר-יוחאי 3-7,1996,2007,לא נבדק ויש פוטנציאל ,היה זיהום בעבר ששוקם,קל,סקר קרקע,תעשיה,לא,כן,לא,כן,לא,לא,טרם נבדק
"ת""א",תל-אביב,מקווה ישראל 23,מקווה ישראל 23,2013,2014,יש זיהום ,לא נבדק ויש פוטנציאל,כבד,סקר קרקע,תעשיה,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,מרזוק ועזר 9 - 7 גוש 7017 חלקה 12,מרזוק ועזר 9 - 7 ,2014,2014,יש זיהום ,לא נבדק ואין זיהום,בינוני,סקר גז קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,מרחביה 17,מרחביה 17,2012,2012,יש זיהום ,לא נבדק ואין זיהום,כבד,סקר גז קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,משמר הירדן 89,משמר הירדן 89,2012,2014,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
