מחוז,רשות מקומית ,שם האתר,כתובת,שנת תחילת טיפול,שנת       סיום      טיפול ,זיהום   גז קרקע  ,זיהום קרקע,דרגת זיהום לפני שיקום,סוג סקר,מקור הזיהום ,סוג מזהם מתכות ,סוג מזהם דלקים,סוג מזהם ממסים (לרבות מוכלרים),סוג מזהם שמנים,סוג מזהם חומרי נפץ,סוג מזהם חומרי הדברה,מיגון מבנים         
"ת""א",חולון,כרומת,הנגר 5-8,2006,2007,יש זיהום ,נבדק ואין זיהום,כבד,סקר קרקע,תעשיה,,,,,,,מיגון לאחר בדיקה
"ת""א",חולון,לנגסם,הפלד 10,2008,2008,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר קרקע,תעשיה,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",חולון,מ.מסחרי ח\300,המרגנית 2 ,2011,2013,יש זיהום ,לא נבדק ויש פוטנציאל,קל,,,,,,,,,נבדק וניתן פטור ממיגון
"ת""א",חולון,מוסיק ,הנפח 6,2009,2012,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,,מוסך,,,,,,,נבדק וניתן פטור ממיגון
"ת""א",גבעתיים,בן ציון ישראלי 17 - 15,בן ציון ישראלי 17 - 15,2011,2014,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,אחר,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",גבעתיים,ברדיצ'בסקי 31,ברדיצ'בסקי 31,2011,2014,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,אחר,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",בת ים,אורט ישראל 25-27-שופרסל ,אורט ישראל 25-27,2010,2011,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום,סקר קרקע,תעשיה,לא,לא,לא,לא,לא,לא,טרם נבדק
"ת""א",בת ים,אחים לוי \ מאפיית אלעד\ אריאל,ניסנבאום 25,2001,2004,יש זיהום ,יש זיהום,כבד,סקר גז קרקע,תעשיה,כן,כן,לא,לא,לא,לא,מיגון על פי חובה בתשריט
"ת""א",תל-אביב,ראש פינה 12 פינת יסוד המעלה,ראש פינה 12 פינת יסוד המעלה,2011,2012,יש זיהום ,נבדק ואין זיהום,קל,סקר קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,דרום הקריה דרך תת קרקעית ,קפלן תל אביב,2009,2014,יש זיהום ,נבדק ואין זיהום,כבד,סקר קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",בת ים,ציפוי חן,הצורפים 6,2005,2006,יש זיהום ,לא נבדק ויש פוטנציאל,כבד,סקר היסטורי,תעשיה,כן,לא,לא,לא,לא,לא,טרם נבדק
"ת""א",חולון,"אפקו ציוד (1991) בע""מ - הכישור 16",הכישור 16,2009,2011,יש זיהום ,יש זיהום,כבד,שיקום ,תעשיה,כן,כן,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",חולון,בית ספר חיים קוגל,רחוב חיים קוגל,2014,2014,נבדק ואין זיהום,לא נבדק ויש פוטנציאל,אין זיהום,לא צריך טיפול,אחר,,,,,,,נבדק וניתן פטור ממיגון
